Berserk,2,Manga,380.0,41.0,On Hiatus,"['Action'; 'Adventure'; 'Award Winning'; 'Drama'; 'Fantasy'; 'Horror'; 'Supernatural']",9.44,1.0,"['Miura; Kentarou']",Young Animal
Boku no Hero Academia,75989,Manga,,,Publishing,['Action'],8.2,395.0,"['Horikoshi; Kouhei']",Shounen Jump (Weekly)
Boruto: Naruto Next Generations,95210,Manga,,,Publishing,"['Action'; 'Adventure'; 'Fantasy']",6.93,8461.0,"['Ikemoto; Mikio'; 'Kodachi; Ukyou']",V-Jump
Break Blade,4608,Manga,,,Publishing,"['Action'; 'Drama'; 'Fantasy']",7.75,1343.0,"['Yoshinaga; Yunosuke']",Comic Meteor
Code Geass: Hangyaku no Lelouch,1528,Manga,40.0,8.0,Finished,"['Action'; 'Drama'; 'Sci-Fi'; 'Supernatural']",7.61,1907.0,"['Taniguchi; Gorou'; 'Ookouchi; Ichirou'; 'Majiko!']",Asuka (Monthly)
Desuraba,114660,Manga,112.0,8.0,Finished,['Ecchi'],6.03,15047.0,"['Tomohiro; Kai'; 'Kazutaka']",Magazine pocket
Jigokuraku,112318,Manga,128.0,13.0,Finished,['Action'],8.26,322.0,"['Kaku; Yuuji']",Shounen Jump+
Jujutsu Kaisen,113138,Manga,,,Publishing,"['Action'; 'Fantasy']",8.56,92.0,"['Akutami; Gege']",Shounen Jump (Weekly)
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki; Ichimanen de.",100448,Manga,18.0,3.0,Finished,['Drama'],8.8,32.0,"['Taguchi; Shouichi'; 'Miaki; Sugaru']",Shounen Jump+
Made in Abyss,91941,Manga,,,Publishing,"['Adventure'; 'Drama'; 'Fantasy'; 'Sci-Fi']",8.79,33.0,"['Tsukushi; Akihito']",Web Comic Gamma
Mushoku Tensei: Isekai Ittara Honki Dasu,70259,Manga,,,Publishing,['Fantasy'],8.15,458.0,"['Fujikawa; Yuka'; 'Rifujin na Magonote']",Comic Flapper
One Punch-Man,44347,Manga,,,Publishing,"['Action'; 'Comedy']",8.73,44.0,"['Murata; Yusuke'; 'ONE']",Tonari no Young Jump
Oyasumi Punpun,4632,Manga,147.0,13.0,Finished,"['Drama'; 'Slice of Life']",9.04,8.0,"['Asano; Inio']",Big Comic Spirits
Sayonara Eri,145863,One-shot,1.0,,Finished,['Drama'],8.76,39.0,"['Fujimoto; Tatsuki']",Shounen Jump+
Undead Unluck,123956,Manga,,,Publishing,"['Action'; 'Comedy'; 'Supernatural']",7.21,5083.0,"['Tozuka; Yoshifumi']",Shounen Jump (Weekly)
Vinland Saga,642,Manga,,,Publishing,"['Action'; 'Adventure'; 'Award Winning'; 'Drama']",8.99,10.0,"['Yukimura; Makoto']",Afternoon
Bastard,111213,Manhwa,94.0,5.0,Finished,"['Drama'; 'Horror'; 'Mystery'; 'Romance']",8.55,97.0,"['Kim; Carnby'; 'Hwang; Young-chan']",Naver Webtoon
Bleach,12,Manga,705.0,74.0,Finished,"['Action'; 'Adventure'; 'Award Winning'; 'Fantasy']",7.76,1290.0,"['Kubo; Tite']",Shounen Jump (Weekly)
Chainsaw Man,116778,Manga,97.0,11.0,Finished,"['Action'; 'Adventure'; 'Award Winning']",8.72,45.0,"['Fujimoto; Tatsuki']",Shounen Jump (Weekly)
Dr. Stone,103897,Manga,,26.0,Finished,"['Adventure'; 'Award Winning'; 'Sci-Fi']",8.21,373.0,"['Inagaki; Riichiro'; 'Boichi']",Shounen Jump (Weekly)
Fire Punch,98270,Manga,83.0,8.0,Finished,"['Action'; 'Mystery'; 'Supernatural']",7.8,1164.0,"['Fujimoto; Tatsuki']",Shounen Jump+
Homunculus,936,Manga,166.0,15.0,Finished,"['Drama'; 'Horror'; 'Mystery'; 'Supernatural']",8.34,232.0,"['Yamamoto; Hideo']",Big Comic Spirits
Houseki no Kuni,44489,Manga,,,Publishing,"['Action'; 'Drama'; 'Fantasy']",8.93,15.0,"['Ichikawa; Haruko']",Afternoon
